40920	8.326976	0.953952	2
14488	7.153469	1.673904	0
26052	1.441871	0.805124	1
75136	13.147394	0.428964	1
38344	1.669788	0.134296	1
72993	10.141740	1.032955	1
35948	6.830792	1.213192	2
42666	13.276369	0.543880	2
67497	8.631577	0.749278	1
35483	12.273169	1.508053	2
50242	3.723498	0.831917	1
63275	8.385879	1.669485	1
5569	4.875435	0.728658	0
51052	4.680098	0.625224	1
77372	15.299570	0.331351	1
43673	1.889461	0.191283	1
61364	7.516754	1.269164	1
69673	14.239195	0.261333	1
15669	0.000000	1.250185	0
28488	10.528555	1.304844	2
6487	3.540265	0.822483	0
37708	2.991551	0.833920	1
22620	5.297865	0.638306	0
28782	6.593803	0.187108	2
19739	2.816760	1.686209	0
36788	12.458258	0.649617	2
5741	0.000000	1.656418	0
28567	9.968648	0.731232	2
6808	1.364838	0.640103	0
41611	0.230453	1.151996	1
36661	11.865402	0.882810	2
43605	0.120460	1.352013	1
15360	8.545204	1.340429	2
63796	5.856649	0.160006	1
10743	9.665618	0.778626	0
70808	9.778763	1.084103	1
72011	4.932976	0.632026	1
5914	2.216246	0.587095	0
14851	14.305636	0.632317	2
33553	12.591889	0.686581	2
44952	3.424649	1.004504	1
17934	0.000000	0.147573	0
27738	8.533823	0.205324	2
29290	9.829528	0.238620	2
42330	11.492186	0.263499	2
36429	3.570968	0.832254	1
39623	1.771228	0.207612	1
32404	3.513921	0.991854	1
27268	4.398172	0.975024	1
5477	4.276823	1.174874	0
14254	5.946014	1.614244	0
68613	13.798970	0.724375	1
41539	10.393591	1.663724	2
7917	3.007577	0.297302	0
21331	1.031938	0.486174	0
8338	4.751212	0.064693	0
5176	3.692269	1.655113	0
18983	10.448091	0.267652	2
68837	10.585786	0.329557	1
13438	1.604501	0.069064	0
48849	3.679497	0.961466	1
12285	3.795146	0.696694	0
7826	2.531885	1.659173	0
5565	9.733340	0.977746	0
10346	6.093067	1.413798	0
1823	7.712960	1.054927	0
9744	11.470364	0.760461	2
16857	2.886529	0.934416	0
